start_date,end_date,date,destination,destination_name,origin,origin_name,total_trips,origin_node_id,destination_node_id
2025-09-04,2025-09-11,2025-09-04,127,110,115,145,<10,119,134
2025-09-04,2025-09-11,2025-09-04,127,110,127,110,<10,134,134
2025-09-04,2025-09-11,2025-09-04,127,110,149,112,<10,40,134
2025-09-04,2025-09-11,2025-09-04,127,110,15,24B,<10,72,134
2025-09-04,2025-09-11,2025-09-04,127,110,59,49F,<10,60,134
2025-09-04,2025-09-11,2025-09-04,130,109,106,130,<10,41,106
2025-09-04,2025-09-11,2025-09-04,130,109,115,145,11.34,119,106
2025-09-04,2025-09-11,2025-09-04,130,109,116,146,<10,124,106
2025-09-04,2025-09-11,2025-09-04,130,109,137,137,<10,137,106
2025-09-04,2025-09-11,2025-09-04,130,109,52,07,10.06,78,106
2025-09-04,2025-09-11,2025-09-04,130,109,54,70B,<10,147,106
2025-09-04,2025-09-11,2025-09-04,131,124,110,48F,<10,127,142
2025-09-04,2025-09-11,2025-09-04,131,124,131,124,25.21,142,142
2025-09-04,2025-09-11,2025-09-04,132,125,106,130,50.91,41,135
2025-09-04,2025-09-11,2025-09-04,132,125,107,134,<10,133,135
2025-09-04,2025-09-11,2025-09-04,132,125,113,142,<10,45,135
2025-09-04,2025-09-11,2025-09-04,132,125,115,145,<10,119,135
2025-09-04,2025-09-11,2025-09-04,132,125,131,124,<10,142,135
2025-09-04,2025-09-11,2025-09-04,132,125,132,125,<10,135,135
2025-09-04,2025-09-11,2025-09-04,132,125,134,127,<10,107,135
2025-09-04,2025-09-11,2025-09-04,132,125,135,132,<10,105,135
2025-09-04,2025-09-11,2025-09-04,132,125,136,143,17.4,109,135
2025-09-04,2025-09-11,2025-09-04,132,125,137,137,66.65,137,135
2025-09-04,2025-09-11,2025-09-04,132,125,141,139,<10,145,135
2025-09-04,2025-09-11,2025-09-04,132,125,143,138,19.24,136,135
2025-09-04,2025-09-11,2025-09-04,132,125,145,141,<10,115,135
2025-09-04,2025-09-11,2025-09-04,132,125,147,54,<10,123,135
2025-09-04,2025-09-11,2025-09-04,132,125,149,112,<10,40,135
2025-09-04,2025-09-11,2025-09-04,132,125,15,24B,<10,72,135
2025-09-04,2025-09-11,2025-09-04,132,125,40,149,11.66,64,135
2025-09-04,2025-09-11,2025-09-04,132,125,52,07,36.94,78,135
2025-09-04,2025-09-11,2025-09-04,132,125,53,21B,<10,154,135
2025-09-04,2025-09-11,2025-09-04,132,125,54,70B,<10,147,135
2025-09-04,2025-09-11,2025-09-04,132,125,61,X4F,<10,104,135
2025-09-04,2025-09-11,2025-09-04,134,127,102,63B,<10,46,107
2025-09-04,2025-09-11,2025-09-04,134,127,104,61,<10,42,107
2025-09-04,2025-09-11,2025-09-04,134,127,105,135,14.21,43,107
2025-09-04,2025-09-11,2025-09-04,134,127,106,130,<10,41,107
2025-09-04,2025-09-11,2025-09-04,134,127,107,134,20.55,133,107
2025-09-04,2025-09-11,2025-09-04,134,127,109,136,24.39,130,107
2025-09-04,2025-09-11,2025-09-04,134,127,115,145,<10,119,107
2025-09-04,2025-09-11,2025-09-04,134,127,134,127,<10,107,107
2025-09-04,2025-09-11,2025-09-04,134,127,135,132,10.85,105,107
2025-09-04,2025-09-11,2025-09-04,134,127,136,143,12.23,109,107
2025-09-04,2025-09-11,2025-09-04,134,127,143,138,<10,136,107
2025-09-04,2025-09-11,2025-09-04,134,127,144,128,<10,112,107
2025-09-04,2025-09-11,2025-09-04,134,127,15,24B,<10,72,107
2025-09-04,2025-09-11,2025-09-04,134,127,52,07,<10,78,107
