start_date,end_date,date,destination,destination_name,origin,origin_name,total_trips
2025-09-04,2025-09-11,2025-09-04,113,142,65,24A,<10
2025-09-04,2025-09-11,2025-09-04,113,142,67,18,<10
2025-09-04,2025-09-11,2025-09-04,113,142,70,12F,23.63
2025-09-04,2025-09-11,2025-09-04,113,142,82,43,<10
2025-09-04,2025-09-11,2025-09-04,113,142,84,41,<10
2025-09-04,2025-09-11,2025-09-04,113,142,85,30F,<10
2025-09-04,2025-09-11,2025-09-04,113,142,90,03,11.45
2025-09-04,2025-09-11,2025-09-04,113,142,93,Aeropuerto,13.39
2025-09-04,2025-09-11,2025-09-04,113,142,94,06A,15.11
2025-09-04,2025-09-11,2025-09-04,113,142,96,69B,20.31
2025-09-04,2025-09-11,2025-09-04,113,142,98,68B,<10
2025-09-04,2025-09-11,2025-09-04,113,142,99,65A,18.18
2025-09-04,2025-09-11,2025-09-04,114,14F,106,130,<10
2025-09-04,2025-09-11,2025-09-04,114,14F,114,14F,<10
2025-09-04,2025-09-11,2025-09-04,114,14F,137,137,<10
2025-09-04,2025-09-11,2025-09-04,114,14F,141,139,<10
2025-09-04,2025-09-11,2025-09-04,114,14F,98,68B,<10
2025-09-04,2025-09-11,2025-09-04,115,145,106,130,71.84
2025-09-04,2025-09-11,2025-09-04,115,145,107,134,<10
2025-09-04,2025-09-11,2025-09-04,115,145,109,136,134.88
2025-09-04,2025-09-11,2025-09-04,115,145,111,50,<10
2025-09-04,2025-09-11,2025-09-04,115,145,112,144,24.5
2025-09-04,2025-09-11,2025-09-04,115,145,113,142,<10
2025-09-04,2025-09-11,2025-09-04,115,145,115,145,2460.44
2025-09-04,2025-09-11,2025-09-04,115,145,116,146,74.28
2025-09-04,2025-09-11,2025-09-04,115,145,127,110,<10
2025-09-04,2025-09-11,2025-09-04,115,145,132,125,<10
